ID,Resource,Zone,technology,owner,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh,STOR,VRE,THERM,New_Build
1,pltu_bolok_1,1,coal,pln,16.5,16.5,0.0,22.132796780684107,19.515047359446356,25.1445173076081,0,0,1,0
2,pltu_bolok_2,1,coal,pln,16.5,16.5,0.0,22.132796780684107,19.486873547555877,25.108216247833397,0,0,1,0
3,pltmg_kupang_peaker,1,gas,pln,40.0,40.0,0.0,53.65526492287056,19.08644225659525,24.59227327620676,0,0,1,0
4,pltd_tenau,1,diesel,pln,0.0,30.0,-30.0,0.0,0.0,0.0,0,0,1,0
5,pltd_kuanino,1,diesel,pln,0.0,10.0,-10.0,0.0,0.0,0.0,0,0,1,0
6,pltd_soe,2,diesel,pln,0.0,8.0,-8.0,0.0,0.0,0.0,0,0,1,0
7,pltd_kefamenanu,2,diesel,pln,0.0,6.0,-6.0,0.0,0.0,0.0,0,0,1,0
8,plts_kupang,1,solar,pln,5.0,5.0,0.0,6.70690811535882,1.6700511258682238,2.1518077135824734,0,1,0,0
9,plts_candidate_kupang,1,solar,pln,37.00179320556059,0.0,37.00179320556059,49.63352542664063,12.357276002777004,15.921956765137551,0,1,0,1
10,plts_candidate_soe,2,solar,pln,16.8,0.0,16.8,22.535211267605636,5.596198017751089,7.210523004241197,0,1,0,1
11,batt_candidate_kupang,1,battery,pln,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
12,batt_candidate_soe,2,battery,pln,3.729689962984288,0.0,3.729689962984288,5.002937576102331,0.5596926350700155,0.7211461438061326,1,0,0,1
