ID,Resource,Zone,technology,owner,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh,STOR,VRE,THERM,New_Build
1,pltu_bolok_1,1,coal,pln,16.5,16.5,0.0,22.132796780684107,19.78571102451514,25.493258824116303,0,0,1,0
2,pltu_bolok_2,1,coal,pln,16.5,16.5,0.0,22.132796780684107,19.228486761563456,24.775293099209893,0,0,1,0
3,pltmg_kupang_peaker,1,gas,pln,40.0,40.0,0.0,53.65526492287056,19.23716735032104,24.78647776149818,0,0,1,0
4,pltd_tenau,1,diesel,pln,0.0,30.0,-30.0,0.0,0.0,0.0,0,0,1,0
5,pltd_kuanino,1,diesel,pln,0.0,10.0,-10.0,0.0,0.0,0.0,0,0,1,0
6,pltd_soe,2,diesel,pln,0.0,8.0,-8.0,0.0,0.0,0.0,0,0,1,0
7,pltd_kefamenanu,2,diesel,pln,0.0,6.0,-6.0,0.0,0.0,0.0,0,0,1,0
8,plts_kupang,1,solar,pln,5.0,5.0,0.0,6.70690811535882,1.6722647999999998,2.154659962234225,0,1,0,0
9,plts_candidate_kupang,1,solar,pln,35.967240772684086,0.0,35.967240772684086,48.2457958050759,11.974799737020783,15.42914827193134,0,1,0,1
10,plts_candidate_soe,2,solar,pln,17.124435847840104,0.0,17.124435847840104,22.970403551764058,5.735994177820871,7.3906459064134165,0,1,0,1
11,batt_candidate_kupang,1,battery,pln,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
12,batt_candidate_soe,2,battery,pln,3.1390184926312377,0.0,3.1390184926312377,4.210621720497971,0.46405654858480655,0.5979220907169032,1,0,0,1
